Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 901,17031090100,3585,5.8840496106143645,17.68099221228728,16.00807614652437
Census tract,Tract 902,17031090200,6626,9.08662900188324,23.226616446955433,13.700564971751412
Census tract,Tract 903,17031090300,1314,9.824046920821116,23.020527859237536,13.563049853372434
Census tract,Tract 1001,17031100100,5538,6.323898244356861,24.38194195628807,16.85775707631673
Census tract,Tract 1002,17031100200,7024,6.7063492063492065,23.796296296296298,18.69047619047619
Census tract,Tract 1003,17031100300,6252,5.024646207664175,21.76816664016537,33.63014787724599
Census tract,Tract 1004,17031100400,3207,7.493388186893917,26.682339112547755,18.483690861004995
Census tract,Tract 1005,17031100500,6116,5.663748436662497,21.064856172949796,21.51152403073075
Census tract,Tract 1006,17031100600,4897,8.306055646481179,25.83878887070377,13.52291325695581
Census tract,Tract 1007,17031100700,4967,7.604345340194396,22.67962645321136,19.534972365161043
Census tract,Tract 1101,17031110100,5568,11.50442477876106,24.39701544334548,15.40864133263925
Census tract,Tract 1102,17031110200,2772,5.398729710656316,15.455187014820044,16.019760056457304
Census tract,Tract 1103,17031110300,5348,7.069510268562401,25.41469194312796,14.889415481832543
Census tract,Tract 1104,17031110400,4522,3.4737785746302103,15.643209323173464,19.004930524428502
Census tract,Tract 1105.01,17031110501,4786,4.924167815639157,18.337600945440222,14.77250344691747
Census tract,Tract 1105.02,17031110502,3220,3.8629102526866106,20.766773162939295,15.91635201858844
Census tract,Tract 1201,17031120100,4402,2.53411306042885,22.977582846003894,21.832358674463936
Census tract,Tract 1202,17031120200,4748,7.642602495543673,22.794117647058822,22.01426024955437
Census tract,Tract 1203,17031120300,6920,8.148879176653038,26.53320174820245,16.579726490906527
Census tract,Tract 1204,17031120400,3526,5.6889352818371615,24.13883089770355,9.864300626304802
Census tract,Tract 1301,17031130100,5205,9.338929695697797,18.551941238195173,41.427072402938094
Census tract,Tract 1302,17031130200,1403,5.326231691078561,17.576564580559253,24.4340878828229
Census tract,Tract 1303,17031130300,5083,6.064908722109533,20.385395537525355,11.987829614604465
Census tract,Tract 1401,17031140100,3464,4.555494202098289,20.26504693539481,7.454445057979017
Census tract,Tract 1402,17031140200,5834,4.28921568627451,20.787377450980394,10.17156862745098
